Gene	Disease	database_assertedBy	score_DisGeNet
entrez.57190	mondo.0015705	disgenet	0.3
entrez.7780	mondo.0011973	omim, disgenet	0.62
entrez.79947	mondo.0013468	omim, disgenet	0.6
entrez.79947	mondo.0044326	omim	
entrez.79947	mondo.0019200	disgenet	0.42
entrez.79947	mondo.0015286	disgenet	0.3
entrez.8289	mondo.0013819	omim	
entrez.8289	mondo.0004970	disgenet	0.35
entrez.8289	mondo.0001187	disgenet	0.3
entrez.8289	mondo.0004987	disgenet	0.31
entrez.8289	mondo.0007243	disgenet	0.3
entrez.8289	mondo.0004992	disgenet	0.33
entrez.8289	mondo.0006474	disgenet	0.3
entrez.8289	mondo.0004971	disgenet	0.3
entrez.8289	mondo.0019004	disgenet	0.3
entrez.8289	mondo.0005072	disgenet	0.31
entrez.8289	mondo.0017844	disgenet	0.31
entrez.8289	mondo.0021085	disgenet	0.3
entrez.8289	mondo.0015760	disgenet	0.3
entrez.8289	mondo.0015758	disgenet	0.3
entrez.8289	mondo.0006176	disgenet	0.3
entrez.8289	mondo.0003197	disgenet	0.3
entrez.8289	mondo.0005606	disgenet	0.3
entrez.8289	mondo.0019087	disgenet	0.3
entrez.8289	mondo.0015452	disgenet	0.72
entrez.8289	mondo.0005028	disgenet	0.31
entrez.8289	mondo.0003210	disgenet	0.31
entrez.8289	mondo.0008315	disgenet	0.3
entrez.8289	mondo.0018031	disgenet	0.3
entrez.8289	mondo.0002447	disgenet	0.38
entrez.8289	mondo.0004989	disgenet	0.35
entrez.8289	mondo.0005575	disgenet	0.32
entrez.8289	mondo.0007648	disgenet	0.3
entrez.8289	mondo.0015459	disgenet	0.3
entrez.55650	mondo.0009398	omim	
entrez.55650	mondo.0015286	disgenet	0.3
entrez.55650	mondo.0016596	disgenet	0.73
entrez.8431	mondo.0019182	omim	
entrez.8431	mondo.0011122	disgenet	0.49
entrez.126695	mondo.0015024	omim, disgenet	0.6
entrez.126695	mondo.0015884	disgenet	0.3
entrez.126695	mondo.0005575	disgenet	0.3
entrez.6548	mondo.0014572	omim, disgenet	0.71
entrez.6548	mondo.0005045	disgenet	0.3
entrez.6548	mondo.0005009	disgenet	0.32
entrez.8547	mondo.0013467	omim, disgenet	0.61
entrez.8547	mondo.0003778	disgenet	0.4
entrez.27245	mondo.0014358	omim, disgenet	0.6
entrez.2035	mondo.0012731	omim, disgenet	0.4
entrez.2035	mondo.0017319	disgenet	0.62
entrez.2035	mondo.0005105	disgenet	0.3
entrez.2035	mondo.0000577	disgenet	0.3
entrez.51102	mondo.0015003	omim, disgenet	0.6
entrez.51102	mondo.0004069	disgenet	0.3
entrez.9672	mondo.0019182	omim	
entrez.9672	mondo.0011122	disgenet	0.33
entrez.9698	mondo.0033482	omim	
entrez.79140	mondo.0008854	omim, disgenet	0.3
entrez.3932	mondo.0014334	omim, disgenet	0.7
entrez.8565	mondo.0012012	omim, disgenet	0.7
entrez.3208	mondo.0009141	omim, disgenet	0.7
entrez.204	mondo.0009973	omim, disgenet	0.74
entrez.204	mondo.0015974	disgenet	0.4
entrez.100048906	mondo.0012366	omim	
entrez.100529231	mondo.0013300	omim	
entrez.127534	mondo.0033012	omim, disgenet	0.4
entrez.127534	mondo.0007239	disgenet	0.3
entrez.127534	mondo.0017851	disgenet	0.67
entrez.127534	mondo.0019270	disgenet	0.3
entrez.2707	mondo.0012976	omim, disgenet	0.5
entrez.2707	mondo.0009076	omim	
entrez.2707	mondo.0033010	omim	
entrez.2707	mondo.0007239	disgenet	0.3
entrez.2707	mondo.0017851	disgenet	1.0
entrez.2707	mondo.0019270	disgenet	0.3
entrez.54936	mondo.0100095	omim	
entrez.1296	mondo.0012199	omim, disgenet	0.6
entrez.1296	mondo.0007637	omim, disgenet	0.61
entrez.1296	mondo.0005321	disgenet	0.6
entrez.1441	mondo.0014865	omim, disgenet	0.7
entrez.1441	mondo.0005059	disgenet	0.4
entrez.1441	mondo.0018874	disgenet	0.5
entrez.1441	mondo.0011996	disgenet	0.43
entrez.1441	mondo.0019451	disgenet	0.6
entrez.1441	mondo.0005062	disgenet	0.3
entrez.1441	mondo.0000577	disgenet	0.3
entrez.1441	mondo.0002334	disgenet	0.31
entrez.1441	mondo.0008092	disgenet	0.93
entrez.1441	mondo.0018881	disgenet	0.49
entrez.79753	mondo.0013787	omim, disgenet	0.4
entrez.284654	mondo.0012530	omim	
entrez.284654	mondo.0002145	disgenet	0.31
entrez.284654	mondo.0019270	disgenet	0.3
entrez.23499	mondo.0032677	omim	
entrez.54802	mondo.0054742	omim	
entrez.54802	mondo.0016056	disgenet	0.3
entrez.54802	mondo.0004069	disgenet	0.3
entrez.84879	mondo.0014660	omim, disgenet	0.6
entrez.84879	mondo.0016056	disgenet	0.53
entrez.84879	mondo.0004730	disgenet	0.3
entrez.84879	mondo.0015204	disgenet	0.3
entrez.84879	mondo.0016660	disgenet	0.3
entrez.5538	mondo.0009744	omim	
entrez.5538	mondo.0019046	disgenet	0.3
entrez.5538	mondo.0019261	disgenet	0.8
entrez.10269	mondo.0010143	omim, disgenet	0.6
entrez.10269	mondo.0012074	omim, disgenet	0.7
entrez.10269	mondo.0008779	disgenet	0.4
entrez.10269	mondo.0015225	disgenet	0.4
entrez.10269	mondo.0006573	disgenet	0.35
entrez.10269	mondo.0019019	disgenet	0.3
entrez.10269	mondo.0008310	disgenet	0.8
entrez.1298	mondo.0013666	omim, disgenet	0.4
entrez.1298	mondo.0010844	omim, disgenet	0.3
entrez.1298	mondo.0020066	disgenet	0.3
entrez.1298	mondo.0016648	disgenet	0.4
entrez.1298	mondo.0019019	disgenet	0.3
entrez.1298	mondo.0005396	disgenet	0.3
entrez.9132	mondo.0010817	omim, disgenet	0.6
entrez.1503	mondo.0014391	omim, disgenet	0.6
entrez.79717	mondo.0032592	omim	
entrez.149461	mondo.0009548	omim, disgenet	0.3
entrez.149461	mondo.0019507	disgenet	0.3
entrez.149461	mondo.0016023	disgenet	0.3
entrez.64175	mondo.0012581	omim	
entrez.64175	mondo.0019019	disgenet	0.8
entrez.64175	mondo.0009804	disgenet	0.3
entrez.374969	mondo.0032816	omim	
entrez.114625	mondo.0020621	omim	
entrez.114625	mondo.0044223	omim	
entrez.6513	mondo.0010983	omim, disgenet	0.61
entrez.6513	mondo.0011724	omim, disgenet	0.8
entrez.6513	mondo.0012143	omim, disgenet	0.7
entrez.6513	mondo.0012805	omim, disgenet	0.64
entrez.6513	mondo.0013919	omim	
entrez.6513	mondo.0021063	disgenet	0.33
entrez.6513	mondo.0005086	disgenet	0.36
entrez.6513	mondo.0005401	disgenet	0.3
entrez.6513	mondo.0004721	disgenet	0.33
entrez.6513	mondo.0019052	disgenet	0.31
entrez.6513	mondo.0016056	disgenet	0.57
entrez.6513	mondo.0005071	disgenet	0.32
entrez.6513	mondo.0008143	disgenet	0.31
entrez.6513	mondo.0000577	disgenet	0.3
entrez.6513	mondo.0001386	disgenet	0.3
entrez.6513	mondo.0002691	disgenet	0.3
entrez.6513	mondo.0006292	disgenet	0.31
entrez.6513	mondo.0004989	disgenet	0.4
entrez.6513	mondo.0017885	disgenet	0.31
entrez.6513	mondo.0003012	disgenet	0.3
entrez.6513	mondo.0005220	disgenet	0.3
